Model,Condition,Accuracy,Balanced Accuracy,TN,FP,FN,TP,Not-Tree Precision,Not-Tree Recall,Not-Tree F1,Not-Tree Support,Tree Precision,Tree Recall,Tree F1,Tree Support
Teacher,Clean,0.985100,0.944789,9401,99,50,450,0.994710,0.989579,0.992138,9500,0.819672,0.900000,0.857960,500
Teacher,Blur,0.964000,0.917579,9207,293,67,433,0.992776,0.969158,0.980825,9500,0.596419,0.866000,0.706362,500
Teacher,Noise,0.719600,0.806947,6744,2756,48,452,0.992933,0.709895,0.827891,9500,0.140898,0.904000,0.243797,500
Teacher,Low Light,0.981900,0.910895,9403,97,84,416,0.991146,0.989789,0.990467,9500,0.810916,0.832000,0.821323,500
Teacher,Combined,0.767300,0.765737,7291,2209,118,382,0.984073,0.767474,0.862381,9500,0.147433,0.764000,0.247169,500
Baseline,Clean,0.981800,0.900421,9413,87,95,405,0.990008,0.990842,0.990425,9500,0.823171,0.810000,0.816532,500
Baseline,Blur,0.960000,0.833053,9254,246,154,346,0.983631,0.974105,0.978845,9500,0.584459,0.692000,0.633700,500
Baseline,Noise,0.835600,0.760000,8018,1482,162,338,0.980196,0.844000,0.907014,9500,0.185714,0.676000,0.291379,500
Baseline,Low Light,0.978500,0.864579,9416,84,131,369,0.986278,0.991158,0.988712,9500,0.814570,0.738000,0.774397,500
Baseline,Combined,0.819400,0.693684,7917,1583,223,277,0.972604,0.833368,0.897619,9500,0.148925,0.554000,0.234746,500
LiteRob,Clean,0.986600,0.929474,9433,67,67,433,0.992947,0.992947,0.992947,9500,0.866000,0.866000,0.866000,500
LiteRob,Blur,0.972300,0.883105,9331,169,108,392,0.988558,0.982211,0.985374,9500,0.698752,0.784000,0.738926,500
LiteRob,Noise,0.916100,0.674474,8958,542,297,203,0.967909,0.942947,0.955265,9500,0.272483,0.406000,0.326104,500
LiteRob,Low Light,0.983000,0.883053,9444,56,114,386,0.988073,0.994105,0.991080,9500,0.873303,0.772000,0.819533,500
LiteRob,Combined,0.911000,0.598842,8984,516,374,126,0.960034,0.945684,0.952805,9500,0.196262,0.252000,0.220665,500
LiteRob-TFLite,Clean,0.950000,0.500000,9500,0,500,0,0.950000,1.000000,0.974359,9500,0.000000,0.000000,0.000000,500
LiteRob-TFLite,Blur,0.950000,0.500000,9500,0,500,0,0.950000,1.000000,0.974359,9500,0.000000,0.000000,0.000000,500
LiteRob-TFLite,Noise,0.950000,0.500000,9500,0,500,0,0.950000,1.000000,0.974359,9500,0.000000,0.000000,0.000000,500
LiteRob-TFLite,Low Light,0.950000,0.500000,9500,0,500,0,0.950000,1.000000,0.974359,9500,0.000000,0.000000,0.000000,500
LiteRob-TFLite,Combined,0.950000,0.500000,9500,0,500,0,0.950000,1.000000,0.974359,9500,0.000000,0.000000,0.000000,500
