Model,Condition,Accuracy,Balanced_Accuracy,Tree_Recall,NotTree_Recall,NaN_Preds,Classes_Hit
Keras,Clean,0.985600,0.905263,0.816000,0.994526,0,2
Keras,Blur,0.979500,0.883105,0.776000,0.990211,0,2
Keras,Noise,0.874300,0.823000,0.766000,0.880000,0,2
Keras,Low Light,0.985000,0.886000,0.776000,0.996000,0,2
Keras,Combined,0.881400,0.747158,0.598000,0.896316,0,2
FP32,Clean,0.985600,0.905263,0.816000,0.994526,0,2
FP32,Blur,0.979500,0.883105,0.776000,0.990211,0,2
FP32,Noise,0.874300,0.823000,0.766000,0.880000,0,2
FP32,Low Light,0.985000,0.886000,0.776000,0.996000,0,2
FP32,Combined,0.881400,0.747158,0.598000,0.896316,0,2
Float16,Clean,0.985400,0.905158,0.816000,0.994316,0,2
Float16,Blur,0.979500,0.883105,0.776000,0.990211,0,2
Float16,Noise,0.872400,0.822947,0.768000,0.877895,0,2
Float16,Low Light,0.985300,0.889000,0.782000,0.996000,0,2
Float16,Combined,0.879700,0.749105,0.604000,0.894211,0,2
